,date,account_value
348,2022-06-13,1886206.4156000006
349,2022-06-14,1874188.0156000007
350,2022-06-15,1865166.2156000005
351,2022-06-16,1885290.9156000006
352,2022-06-19,1892041.8156000006
353,2022-06-20,1883171.6156000004
354,2022-06-21,1876195.8156000006
355,2022-06-22,1874563.2156000005
356,2022-06-23,1879674.2156000005
357,2022-06-26,1879972.2156000005
358,2022-06-27,1882682.0156000005
359,2022-06-28,1885106.6156000004
360,2022-06-29,1890954.3156000006
361,2022-06-30,1893913.4156000006
362,2022-07-03,1877186.2156000005
363,2022-07-04,1877835.3156000006
364,2022-07-05,1876332.6156000004
365,2022-07-06,1874780.9156000006
366,2022-07-07,1876706.1156000006
367,2022-07-12,1868171.1156000006
368,2022-07-13,1862276.1156000006
369,2022-07-14,1867316.6156000006
370,2022-07-17,1872847.1156000004
371,2022-07-18,1851680.5156000005
372,2022-07-19,1833109.2156000002
373,2022-07-20,1831700.0156000003
374,2022-07-21,1829531.9156000004
375,2022-07-24,1816349.2156000005
376,2022-07-25,1822962.6156000006
377,2022-07-26,1828872.5156000003
378,2022-07-27,1815722.3156000006
379,2022-07-28,1801359.2156000005
380,2022-07-31,1852195.3156000006
381,2022-08-01,1848448.3156000003
382,2022-08-02,1855257.1156000004
383,2022-08-03,1872532.1156000004
384,2022-08-04,1873818.2156000005
385,2022-08-07,1872677.3156000003
386,2022-08-08,1856675.4156000002
387,2022-08-10,1843363.2156000002
388,2022-08-11,1839104.7156000002
389,2022-08-14,1849412.2156000002
390,2022-08-16,1856271.4156000002
391,2022-08-17,1861153.0156000005
392,2022-08-21,1874456.3156000003
393,2022-08-22,1878581.6156000004
394,2022-08-23,1883420.8156000003
395,2022-08-24,1881949.1156000004
396,2022-08-25,1894213.1156000004
397,2022-08-28,1897623.4156000004
398,2022-08-29,1915390.0156000003
399,2022-08-30,1929282.6156000001
400,2022-08-31,1924321.2156000002
401,2022-09-01,1942949.4156000002
402,2022-09-04,1941467.8156000003
403,2022-09-05,1923125.2156000005
404,2022-09-06,1930478.1156000004
405,2022-09-07,1940860.0156000005
406,2022-09-08,1935522.3156000003
407,2022-09-11,1931507.4156000004
408,2022-09-12,1937111.2156000002
409,2022-09-13,1944745.6156000004
410,2022-09-14,1941708.9156000004
411,2022-09-15,1941747.7156000002
412,2022-09-18,1934543.7156000002
413,2022-09-19,1944693.4156000004
414,2022-09-20,1945321.7156000002
415,2022-09-21,1934239.7156000002
416,2022-09-22,1945716.0156000003
417,2022-09-25,1937797.0156000003
418,2022-09-26,1939797.4156000002
419,2022-09-27,1932247.3156000003
420,2022-09-28,1927397.0156000003
421,2022-09-29,1933293.4156000004
422,2022-10-02,1932011.9156000004
423,2022-10-03,1928236.6156000004
424,2022-10-04,1937934.0156000003
425,2022-10-06,1938376.9156000004
426,2022-10-10,1910727.0156000003
427,2022-10-11,1916015.2156000002
428,2022-10-12,1934028.3156000003
429,2022-10-13,1931926.3156000003
430,2022-10-16,1943822.8156000003
431,2022-10-17,1915494.4156000002
432,2022-10-18,1931403.6156000004
433,2022-10-19,1915865.0156000003
434,2022-10-20,1901751.3156000006
435,2022-10-23,1886836.1156000006
436,2022-10-24,1872890.4156000004
437,2022-10-25,1879051.6156000004
438,2022-10-26,1880949.8156000006
439,2022-10-27,1866224.0156000005
440,2022-10-30,1851611.0156000003
441,2022-10-31,1845903.1156000004
442,2022-11-01,1869449.2156000005
443,2022-11-02,1869758.2156000005
444,2022-11-03,1886919.9156000004
