date,a2c,ddpg,td3,ppo,sac,mvo
2022-02-09,2571421.499800001,2353647.50185,2457550.3414000003,2292831.98145,2422759.2953999992,2286048.0203703283
2022-02-10,2568666.8998000002,2348087.40185,2467496.6414,2290118.4212000007,2411301.195399999,2281630.8538437393
2022-02-13,2599071.6998000005,2377397.4018499996,2508192.7414,2301255.55255,2435175.1953999996,2317742.4299888173
2022-02-14,2594984.1998000005,2376209.30185,2496869.2413999997,2298444.0922,2433508.7953999992,2314033.704577262
2022-02-15,2590636.6998000005,2366862.80185,2497306.5414000005,2298194.03195,2421313.6954,2303755.755859591
2022-02-16,2600463.8998000002,2367459.0018499997,2508079.7413999997,2307102.39395,2421763.7953999997,2301542.7322979337
2022-02-17,2598471.0998000004,2361579.80185,2491952.4414,2307826.1647,2420523.8953999993,2290362.064212035
2022-02-20,2605501.0998000004,2371366.1018499997,2498475.4414,2298917.4357500006,2423122.6953999996,2301461.1537098153
2022-02-22,2590050.8998000002,2355594.1018499997,2472927.2413999997,2298575.9071000004,2408159.4953999994,2280088.2450277703
2022-02-23,2601075.1998000005,2362410.90185,2462226.0414,2306847.7701,2428744.3954,2284279.483250614
2022-02-24,2564094.0998000004,2335405.70185,2425771.3414000003,2266643.91205,2396852.0953999995,2254278.503027953
2022-02-27,2515369.2998000006,2300550.30185,2383127.3414000003,2230443.78375,2362484.3954,2222828.5458010896
2022-02-28,2539453.4998000003,2316259.30185,2397578.0414000005,2246167.45635,2385997.2953999997,2236672.302114903
2022-03-01,2517907.8998000002,2294466.90185,2368610.9414,2237784.920600001,2362470.6953999996,2209977.3828074015
2022-03-02,2503231.0998000004,2280348.30185,2340979.5414,2221077.99275,2358678.3954,2195630.076895152
2022-03-03,2510990.5998000004,2292759.90185,2362634.6414,2217408.96505,2358602.3954000003,2210251.7196959946
2022-03-06,2495174.7998000006,2271797.5018499997,2325108.5414000005,2204689.1374000004,2340444.5953999995,2178370.144589421
2022-03-07,2420892.9998000003,2216562.80185,2275255.2413999997,2154915.51,2266482.3953999993,2128946.2943081893
2022-03-08,2398129.2998000006,2198767.5018499997,2259874.6414,2137829.17545,2226447.2953999992,2106084.707516265
2022-03-09,2428884.9998000003,2223950.40185,2307676.1414,2161782.54815,2265325.7953999997,2138061.921719375
2022-03-10,2414894.8998000002,2207205.20185,2287573.0414,2153440.9204500006,2251110.195399999,2120401.8507421277
2022-03-13,2395110.5998000004,2194350.40185,2285693.0414,2158760.3925,2234914.7953999992,2109787.0623074854
2022-03-14,2413501.7998000006,2211927.30185,2316758.8414000003,2165958.9645000002,2249155.8915999997,2135083.4367061257
2022-03-15,2428109.2998000006,2221465.30185,2316716.8414000003,2176323.0282,2270855.3915999997,2143532.901799634
2022-03-16,2442845.0998000004,2227465.6018499997,2320018.1414,2184903.49995,2280060.3915999993,2145185.906667707
2022-03-20,2409925.7998000006,2201755.6018499997,2310940.1414,2164020.0717500006,2245258.0916,2126448.5258944808
2022-03-21,2414662.5998000004,2205581.1018499997,2318530.4414,2173213.3104000003,2245488.487849999,2126894.5810750173
2022-03-22,2435067.5998000004,2211527.20185,2321859.7414,2192118.0567000005,2259518.5878499993,2127437.8761409502
2022-03-23,2426772.6998000005,2207310.0018499997,2317792.7414,2185737.9954500003,2250590.684099999,2124073.481395972
2022-03-24,2425076.7998000006,2203019.90185,2316866.4414,2188257.9416,2243992.6840999993,2117518.4714933997
2022-03-27,2425242.0998000004,2200797.40185,2320898.3414000003,2187587.0804999997,2244404.7803499997,2119217.3048798377
2022-03-28,2433274.0998000004,2212474.1018499997,2333582.1414,2192157.12675,2248086.9803499994,2128823.5034180963
2022-03-29,2419724.1998,2203677.0018499997,2327774.5414,2187921.19245,2240909.6803499996,2121946.131738268
